score,content
2,masih perlu belajar untuk hasil maksimal
5,tokopedia kenapa sekarang pencairan dana seller lama sekali sampai  hari kamu kenapa tokopedia makin kesini kok kamu makin nggak asik sih tokopedia
5,ngga expect ternyata tokopedia sebagus itu pengirimannya cepet banget
3,kocak cs lu status pesanan tiba di tempat tujuan padahal belum nyampe kocak gw komplain ditolak history kurir menit dari depok  serpong logikanya dipake kocak
1,agh biaya admin beli pulsa nya mahal tidak semurah mitra tokopedia
5,sayang sekali mitra tokopedia sudah ditutup
1,min kenapa mau refund dana di mitra tokopedia ga bisa hadeh ini mau ngambil atau gmna dh dana saya
1,sebagai pembeli merasa kurang diuntungkan karena kalau mau beli harus menunggu konfirmasi penjual sudah nunggunya lama atau bahkan sampai tidak dibalas lalu ketika mau membatalkan harus konfirmasi juga ke penjual padahal barang belum di konfirmasi sedikit saran ketika penjual belum mengkonfirmasi pesanan yang dibeli pembeli seharusnya saldo langsung balik ke pembelinya tanpa harus menunggu konfirmasi konfirmasi dari penjual mana gak direspon direspon mending apk sebelah
3,gtau sering kecewa aja klau beli di tokopedia sering tibadi batalkan gtau alesanya pdahal barang udah di kirim
5,menyenangkan
5,bagus banget jdi belanja lebih cepet  terpercaya
1,pelayanan kalian makin gaje jwb sprt robot gk ada solusi hal yg kalian mesti pahamibuyer pilih instant itu karena urgentjd batas respon seller jgn kalian buat  hari gk dikirim baru otomatis cancel saran gua khusus instant bgitu  jam stlh buyer check outseller gak respongak cari driversistem lgsg batal otomatisagar buyer lgsg cari seller lainudh gt buyer mau batalin nunggu respon  hari jdi totl kebuang hrinstant urgent cok kt berani byr ongkir mhl lo samain dgn pengiriman reglr
4,tadi pagi jam  an klim foucer diskon eh pas mau cekout tadi sore jam  udah gak bisa kepake padahal berlaku sampe jam  malam
1,setelah di pegang tiktok jadi ga pernah beli di tokped hanyak fitu nya yang ilang suka eror maupun kurangnya vocher diskon pengiriman
1,sangat lambat pengirimannya update nya juga luama aku dapat kurir jne
5,kenapa suka lag dan ngebug ya waktu pemilihan pembayaran loading terus
5,ok mantap  cuma cara komplain barang rusak kurang mendukung bagi pembeli seolah membela penjual  banyak barang yg tidak original
5,mantabs
5,mantap banyakin lagi diskonnya dong
1,kenapa error
5,sesuai orderan
5,wow banyak diskon
1,banyak x pelaturan jdi bingung
3,kurang memuaskan untuk sekarang nggak kayak dulu
1,sekarang tokopedia lambat pengiriman jelek banget
3,saya kurangi  bintang soalnya sudah  kali saya komplain pesanan selalu gagal uang hilang barang tidak sesuai cuma garagara upload video unboxing gagal tapi bukan akibat jaringan kalau soal ukuran video maks mb video yang sy kirim kisaran mb saya chat penjual tidak ada pilihan upload video hanya ada upload foto sedangkan penjual ngotot kurang bukti video unboxing terus terang baru kali ini saya dikecewakan oleh tokopedia
